Sourceid,Targetid,Weights
0,7,2053494.788902345
0,20,10871.46952255541
0,21,21496.92000226509
0,32,100.60531394150406
0,41,739596.0001155565
0,64,679.0171496284163
0,105,905065.4370928544
0,106,3543.0705240473603
0,137,2067.0333824532495
0,138,100698.0
0,165,51997.96162999094
0,187,36223.0
0,207,371934.654672
0,210,517918.0
0,261,357.17120000000006
0,265,46911.84
0,286,26418.0
0,288,1133.76
0,304,9801.0
0,308,45510.4
0,324,118760.30175999996
0,336,2123.2000000000003
0,345,4252.415999999999
0,346,93448.0
0,352,21092.12942336
0,353,25000.0
0,373,24184.320000000003
0,375,8021.039999999994
0,392,12826.264398
0,394,39168.0
0,398,8400.0
0,409,570.1934828748799
0,412,57120.0
0,416,896.8375593041873
0,422,7159.0
0,436,624.1980272781361
0,442,40528.0
0,484,14604.768
0,492,125993.68
0,495,2155.31651072
0,497,1814.136
0,501,5127.813808127999
0,518,4199.520000000001
0,530,1856.8
0,551,6931.200000000001
0,565,26528.768
0,572,47305.600000000006
0,575,9759.2
0,579,34294.240000000005
0,592,24520.672
0,597,1212.9600000000007
0,600,1912.0
0,622,40570.0
0,627,2744.32
0,630,4689.76
0,637,424.7839999999997
0,640,1408.0
0,658,3010.0
0,663,596.3918811136
0,667,50927.0
0,677,5122.599999999999
0,696,8820.0
0,702,2072.2483200000006
0,703,2867.7120000000004
0,706,3526.0
0,724,34051.0
0,738,5655.360000000001
0,757,38302.2272
0,758,252.23167999999976
0,780,2050.3103999999107
0,782,1471.0
0,785,6213.0
0,816,5905.799999999999
0,819,6259.9987200000005
0,826,4576.0
0,828,10654.080000000002
0,832,372.0
0,837,166.55842803712002
0,845,4170.810368
0,847,1186.0800000000004
0,849,86372.8
0,854,13631.2
0,860,59.28959999999995
0,872,1024.1600000000003
0,874,13681.0
0,880,1315.8399999999997
0,884,2005.5040000000008
0,888,20515.2
0,909,9552.479999999998
0,913,900.4667371520007
0,918,307.0079999999998
0,940,29579.2
0,947,10991.504
0,959,1920.0
0,962,1340.8000000000002
0,992,1738.2928
0,1004,29436.0
0,1011,12928.768
0,1022,215.39999999999964
0,1023,273.52972761497625
0,1058,13455.232000000002
0,1093,3865.6
0,1097,532.48
0,1109,2039.6800000000003
0,1133,3885.8399999999983
0,1143,276.47999999999996
0,1153,52.0
0,1158,2.0
0,1168,4557.440000000001
0,1200,473.75999999999976
0,1218,907.6799999999998
0,1228,1084.239932030977
0,1230,991.0
0,1235,6985.599999999999
0,1236,1332.199999999999
0,1249,1030.4
0,1258,7270.942720000001
0,1276,7784.32
0,1289,1240.064
0,1294,98.7136
0,1298,1048.4399999999998
0,1310,3335.840000000001
0,1314,627.3999999999996
0,1316,3506.6240000000007
0,1330,11789.6
0,1334,37802.4
0,1353,80.3209215999999
0,1360,3638.5216
0,1371,2044.8
0,1377,12152.0
0,1381,415.7440000000001
0,1404,834.4000000000001
0,1428,1044.0
0,1439,7929.0
0,1440,17416.219986182143
0,1448,35289.6
0,1454,2978.4
0,1467,7.040000000000001
0,1473,6130.877071359998
0,1474,958.0
0,1488,1308.2760186429432
0,1494,448.7999999999999
0,1504,4634.944
0,1526,1914.24
0,1528,818.1912698880006
0,1544,1489.0
0,1559,1451.5417088000002
