Sourceid,Targetid,Weights
0,7,672889.1724275206
0,41,242350.8173178656
0,45,17598.054400000008
0,137,677.325498762281
0,138,32996.72064000001
0,153,463724.18416
0,159,398414.0
0,181,239161.1771
0,184,46881.05779200001
0,210,169711.37024000002
0,226,4996.921314041857
0,237,143295.0
0,253,6828.605439999998
0,261,149.88800000000003
0,265,15372.071731200003
0,267,6322.881536000001
0,270,50526.53700847136
0,288,59.056425086746586
0,290,32954.1632
0,293,1120.0
0,306,991.903999999998
0,321,88359.328
0,324,38915.37568071679
0,348,6185.127859545034
0,353,8192.0
0,363,18724.199999999997
0,366,17225.015999999996
0,373,6519.559999999998
0,380,2470.2976000000003
0,398,2752.5120000000006
0,409,186.8410004684407
0,416,9030.6211262464
0,422,740.5811200000012
0,431,707.5999999999995
0,441,994.688
0,449,3999.5659724800007
0,474,14071.115100160005
0,479,12880.384
0,501,1895.7067866889995
0,511,8615.800000000003
0,518,1376.098713600001
0,540,8746.4
0,551,9555.167488
0,598,5974.262341959681
0,600,11744.86784
0,605,1955.5999999999997
0,614,16990.0
0,627,899.2587776000005
0,638,14536.192000000005
0,697,3544.9856
0,702,2.0
0,706,1099.456
0,708,12174.0
0,721,5901.6
0,725,19745.0
0,735,178.99520000000004
0,743,5496.054450347624
0,744,960.8959999999996
0,751,608.6656
0,757,7326.560000000001
0,767,4824.799999999999
0,777,1725.8086400000002
0,779,836.9919999999997
0,781,3160.576
0,796,1807.3533952
0,801,11013.16
0,826,1499.4636800000003
0,832,108.39999999999998
0,847,2040.8
0,871,2524.3999999999996
0,874,4958.360000000001
0,893,80.72959999999998
0,894,1422.2950400000009
0,914,1406.464
0,921,937.8380800000002
0,962,49.60665599999993
0,970,6597.760000000001
0,972,3427.2319999999995
0,1001,1307.224832
0,1004,30393.6
0,1022,2409.462272
0,1023,1216.905241471582
0,1032,10586.945536000005
0,1042,5118.0
0,1063,24742.08
0,1111,39784.0
0,1132,57.599999999998545
0,1133,20796.800000000003
0,1150,6226.329600000001
0,1153,17.03936
0,1168,110.99999999999976
0,1177,862.2079999999995
0,1236,8195.2
0,1240,168.89599999999993
0,1249,1423.0
0,1257,3471.1534582555605
0,1276,3484.5999999999995
0,1281,273.4080000000001
0,1294,32.34647244800001
0,1310,18509.664
0,1313,1915.5999999999983
0,1315,3896.999999999998
0,1326,10746.9712
0,1330,17091.4776576
0,1338,1195.2
0,1367,422.87999999999994
0,1371,1013.5360000000004
0,1430,3282.163712000001
0,1437,2158.7999999999993
0,1444,6480.0
0,1449,669.28
0,1450,1823.6139792393835
0,1456,2618.24
0,1477,7058.0
0,1504,21488.0
0,1512,5186.960000000001
0,1529,3839.648
0,1649,3009.937408
0,1654,32.800000000000004
0,1657,8260.68727808
0,1658,7044.02301184
0,1736,20.0
0,1755,44.8
0,1757,9837.72
0,1769,1300.7343999999996
0,1770,148.0
0,1772,541.6058879999999
0,1779,32.0
0,1793,184.32
0,1816,1344.0
0,1819,1811.84
0,1822,1435.840921599999
0,1833,585.3184
0,1853,1165.438976
0,1881,276.73600000000005
0,1885,1100.288
0,1894,7357.864
0,1904,20641.53621504
0,1914,10240.0
0,1943,802.5150343341934
0,1944,4480.399999999998
0,1947,25.0
0,1948,9194.24
0,1968,444.7999999999971
0,1972,6673.92
0,1975,1219.6624
0,1976,6430.72
0,1983,1536.0
0,1992,8919.119999999999
0,2040,13743.2
0,2052,6973.2
0,2054,1864.1152
0,2063,257.1199999999999
0,2066,1288.5999999999997
0,2067,7583.599999999999
0,2072,3170.4
0,2086,1217.4400000000005
0,2101,490.7335680000001
0,2145,1971.456
0,2153,1793.2608
0,2162,2844.0
0,2180,118.30772629504004
0,2181,369.8948452352004
0,2200,3649.920000000001
0,2234,3165.2
0,2248,656.8000000000001
0,2251,4358.400000000001
0,2255,7.1999999999999975
0,2300,4168.76
0,2303,870.0
0,2366,660.6400000000002
0,2383,7643.200000000001
0,2395,5223.343999999999
0,2405,126.51999999999998
0,2413,2012.2624000000008
0,2487,2249.6
0,2490,1901.0886428553065
0,2496,1169.0603408384
0,2534,674.4440832000005
0,2545,2118.5810923520003
0,2547,390.7200000000001
0,2583,2457.6000000000004
0,2592,867.2
0,2596,360.096
0,2598,3500.0
0,2618,262.14400000000006
0,2622,3900.0
0,2638,6791.200000000001
0,2644,1600.0
0,2649,569.1200000000001
0,2650,2800.0
0,2678,1265.28
0,2693,480.0
0,2709,8091.0
0,2729,1134.88
0,2731,1331.5616768000002
0,2753,191.22399999999993
0,2764,524.0
0,2783,108.52318345953282
0,2803,495.0015999999999
0,2831,75.825152
0,2853,588.8000000000001
0,2896,3573.3199999999997
0,2916,880.0
0,2923,39.0
0,2934,631.1999999999997
0,2937,654.0531199999998
0,3005,294.87999999999994
0,3008,104.85760000000003
0,3012,847.2494080000005
0,3036,612.48
0,3107,71.80648448000004
0,3191,3962.0
0,3199,147.456
0,3218,825.8150400000004
0,3241,486.0
0,3260,220.0
0,3262,4812.8
0,3291,326.78399999999993
0,3305,1466.5999999999997
0,3336,1441.792
0,3347,1116.8
0,3357,94101.8692608
0,3392,231.0222643200001
0,3432,1648.5376
0,3462,134.4
0,3489,1232.48
0,3567,74.75199999999995
0,3610,116.48
0,3664,169.984
0,3672,176.9402508771327
0,3694,385.024
0,3724,104.85760000000003
0,3767,250.24
0,3773,1425.0
0,3808,1167.2
0,3875,191.2
0,3884,891.635856382853
0,3889,420.64674816
0,3902,2560.0
0,4024,512.8000000000001
0,4045,3620.894267560165
0,4073,316.0
0,4091,1536.0
0,4122,120.49279999999996
0,4158,87.49056000000002
0,4184,1096.0
0,4208,60.805769282872966
0,4263,800.0
0,4297,7290.5232998400015
0,4325,5970.944
0,4350,111.60000000000002
0,4417,373.6064
0,4508,932.1300249147558
0,4528,110.72
1,88,95261.12907648271
1,219,5333.0
1,307,180456.89048
1,326,164665.4704
1,327,9600.0
1,409,1000.0
1,417,45516.0912
1,431,1726.5459200000005
1,436,26173.09170662923
1,445,175.41119999999998
1,489,6207.84
1,550,36584.0
1,566,10950.8
1,568,44600.992
1,579,3844.064
1,600,14365.92416
1,619,2488.0
1,632,30941.44
1,669,1029.2224000000003
1,726,1211.3999999999996
1,735,822.0
1,743,18624.321826132375
1,752,191.3599999999999
1,777,5710.479360000001
1,779,1271.3984000000005
1,819,58876.0
1,831,550.3504384000001
1,875,426.4140799999992
1,880,1848.708901663932
1,893,172.20672000000002
1,924,3425.6896
1,981,33508.119999999995
1,1004,10963.399999999998
1,1022,7719.664127999999
1,1032,6127.50336
1,1063,7063.031775232003
1,1073,93.07136
1,1127,1773.6
1,1133,5795.199999999997
1,1147,25058.304000000004
1,1152,2641.2800000000007
1,1185,1069.4656000000002
1,1200,370.35704320000013
1,1226,524.2880000000001
1,1240,671.8259200000001
1,1262,7648.962368
1,1269,3086.5195904
1,1290,126.80219852799996
1,1291,465.1200000000001
1,1304,40.842035200000055
1,1424,1266.1999999999998
1,1449,713.1999999999998
1,1462,377.0
1,1516,722.86208
1,1519,11818.0
1,1529,3513.2
1,1544,1004.1999999999998
1,1552,8475.36
1,1590,7063.0
1,1601,6308.0
1,1611,858.1999999999994
1,1634,224.09389067468828
1,1707,3849.8099200000006
1,1784,2560.0
1,1820,1192.2239999999997
1,1821,5492.599999999999
1,1832,586.5472000000001
1,1890,13.631488
1,1944,6910.771200000002
1,1957,398.86847999999975
1,2004,1474.0
1,2066,707.6800000000003
1,2084,832.0
1,2110,688.0
1,2130,601.2928
1,2143,2551.0
1,2170,6886.879999999999
1,2253,2919.058688000001
1,2490,867.6719001600004
1,2559,1933.208576
1,2577,30.670848000000007
1,2657,5164.799999999999
1,2815,958.88
1,2932,1899.8
1,2937,305.3322240000001
1,2951,1507.1602181763053
1,3004,940.0
1,3005,1695.6718047232
1,3014,828.52
1,3038,5935.068160000001
1,3065,156.20774939485798
1,3067,9546.629120000003
1,3075,3500.0
1,3134,78.55999999999986
1,3186,2134.6
1,3357,2856.530739200001
1,3369,7730.799999999999
1,3476,316.46023680000013
1,3530,99.65666304000008
1,3555,47.5136
1,3586,1647.2
1,3837,1927.2
1,3860,25506.912000000004
1,3887,3806.0
1,3918,370.856
1,3925,280.0
1,4066,184.32
1,4105,102.4
1,4143,2448.8895999999995
1,4157,111.02490460160008
1,4260,16.8
2,165,16433.02825820458
2,174,43230.72
2,219,14388.0
2,248,73717.27478599013
2,267,10316.8
2,270,38077.15774152864
2,273,330.18726399999923
2,361,35814.4
2,366,20297.318400000004
2,369,2542.976000000001
2,452,2508.2880000000005
2,475,28628.800000000003
2,493,944.96
2,512,10074.13728
2,551,4272.832512000001
2,565,6941.9008
2,718,16000.0
2,720,82968.0
2,740,818.5855999999998
2,781,1955.3999999999996
2,782,351.5199999999999
2,820,37681.6
2,828,20513.6
2,843,80000.0
2,847,2123.756558352384
2,852,13.254000640000008
2,860,14.052587929599987
2,864,5666.269822976003
2,874,9856.64
2,891,2951.954432000001
2,924,28924.96
2,940,8279.6544
2,965,10724.352
2,1021,1602.2528000000002
2,1143,1312.8564736000003
2,1177,2229.0
2,1200,723.8
2,1205,1116.0576
2,1237,488.1476718428163
2,1275,14299.2
2,1293,2083.84
2,1393,1655.1935999999998
2,1410,1954.304000000001
2,1420,111.57823999999982
2,1430,896.0
2,1435,910.2950400000002
2,1437,851.5840000000003
2,1473,9776.7424
2,1487,621.953024
2,1520,2043.904000000001
2,1545,81.22134528000025
2,1663,3062.0
2,1703,2607.0220800000006
2,1713,2900.541440000001
