Sourceid,Targetid,Weights
0,7,1051389.3319180007
0,20,5566.192395548371
0,21,11006.42304115973
0,32,51.50992073805008
0,41,378673.152059165
0,47,2169902.2796116658
0,117,350009.41599611327
0,137,1058.321091816064
0,138,51557.37600000001
0,165,26622.95635455537
0,184,73251.6528
0,186,17163.3779346432
0,207,190430.543192064
0,210,265174.016
0,253,10669.695999999996
0,257,92704.64
0,261,234.20000000000005
0,265,24018.862080000006
0,267,9879.5024
0,270,18883.6426122752
0,288,92.27566419804153
0,290,51490.880000000005
0,306,288.927999999997
0,316,7893.375999999998
0,321,46450.2
0,324,60805.27450111997
0,336,1087.0784000000003
0,345,23806.0
0,352,10799.170264760322
0,353,12800.0
0,373,37071.0
0,380,3859.84
0,394,20054.016000000003
0,395,751.3172630624001
0,398,4300.8
0,401,2108.0
0,409,291.9390632319386
0,412,29245.44
0,422,6750.519999999999
0,431,3367.272
0,436,8381.9284836
0,441,1554.1999999999998
0,475,36104.2
0,479,20125.6
0,482,3718.8399999999983
0,495,18112.82207488
0,501,2962.041854201562
0,518,2150.154240000001
0,530,4358.624
0,534,4140.086117232802
0,553,1280.6
0,592,12554.584064
0,593,5518.080000000001
0,597,1929.0
0,598,9334.784909312
0,600,978.944
0,627,1405.0918400000005
0,637,2425.0
0,638,22712.800000000003
0,639,1221.9387008
0,663,1102.0
0,680,20244.0
0,685,11972.2107264
0,697,5539.04
0,702,1060.9911398400006
0,706,1805.3120000000004
0,732,2652.7999999999993
0,735,279.68
0,738,2895.544320000001
0,743,8587.585078668162
0,744,1501.3999999999996
0,751,951.04
0,777,2696.576
0,778,5201.280000000001
0,779,1307.7999999999995
0,780,1049.758924799955
0,781,4938.4
0,796,375.6287999999998
0,804,4806.799999999999
0,819,8457.007999999994
0,826,2342.9120000000003
0,839,2732.0
0,854,4144.4
0,872,22213.432832
0,894,2222.3360000000007
0,895,7366.199999999997
0,911,358.1999999999998
0,914,2197.6
0,918,1232.388096
0,921,527.8720000000002
0,947,5627.650048000002
0,962,77.51039999999989
0,987,1350.0
0,1004,15071.232000000004
0,1022,110.28479999999982
0,1032,16542.102400000003
0,1072,24262.44
0,1109,1044.3161600000003
0,1132,16844.16
0,1143,942.4639999999998
0,1150,9728.64
0,1153,26.624
0,1200,586.2399999999998
0,1205,1467.5200000000002
0,1224,18675.2
0,1281,427.2000000000001
0,1284,7836.078336000002
0,1294,50.541363200000006
0,1305,4569.2
0,1310,2732.3999999999996
0,1313,18621.0
0,1338,4005.7600000000007
0,1365,1073.6
0,1371,6662.4
0,1403,2435.2000000000003
0,1404,1427.0
0,1427,1750.4
0,1430,141.61919999999927
0,1435,1003.264
0,1448,18068.2752
0,1450,2849.3968425615367
0,1456,4091.0
0,1472,3954.0
0,1504,6824.111871999999
0,1509,1796.0
0,1529,3907.2
0,1544,828.832
0,1571,2295.6800000000003
0,1604,286.72
0,1608,27625.0
0,1611,447.5199999999999
0,1633,3623.0
0,1641,6528.8
0,1649,4703.0271999999995
0,1655,3171.5999999999985
0,1665,5058.499108618239
0,1683,2302.7200000000007
0,1713,7029.555200000002
0,1723,672.0
0,1755,70.0
0,1758,480.0
0,1772,846.2591999999997
0,1779,102.4
0,1793,288.0
0,1816,2100.0
0,1819,2831.0
0,1820,3778.4
0,1833,914.56
0,1853,1820.9984
0,1878,1042.4
0,1881,432.4000000000001
0,1885,1719.2
0,1894,1442.4
0,1914,16000.0
0,1943,1253.929741147177
0,1948,14366.0
0,1953,6828.599999999999
0,1968,1397.6000000000022
0,1972,10428.0
0,1975,995.84
0,1983,2400.0
0,2040,15705.0
0,2051,2267.3999999999996
0,2054,2912.6799999999994
0,2063,158.0
0,2064,548.2794188800001
0,2065,1848.0
0,2066,5258.444800000001
0,2075,339.89337599999953
0,2082,4133.6
0,2086,4015.2
0,2101,766.7712000000001
0,2110,2492.6
0,2145,3080.3999999999996
0,2178,1417.3999999999996
0,2180,184.85582233600005
0,2200,5703.0
0,2204,13136.032491777918
0,2235,1023.0
0,2251,6810.0
0,2253,1151.6160000000002
0,2255,4.70118266044416
0,2300,659.0
0,2356,6092.0
0,2395,1734.4
0,2413,3144.1600000000008
0,2449,77.59462400000004
0,2487,3515.0
0,2490,2970.451004461416
0,2496,119.296
0,2534,1053.8188800000005
0,2545,3310.2829568
0,2547,438.7999999999999
0,2583,3840.0
0,2588,140.50918400000003
0,2592,1355.0
0,2596,73.60000000000001
0,2605,2780.1861120000012
0,2609,1036.8
0,2618,409.6
0,2675,2213.0
0,2678,1977.0
0,2727,6206.0
0,2731,2080.56512
0,2744,241.66400000000004
0,2745,1618.341888
0,2770,3936.8
0,2783,169.56747415552002
0,2803,773.4399999999997
0,2807,73.72883722239996
0,2824,7710.400000000001
0,2831,118.4768
0,2853,920.0
0,2867,174.59200000000092
0,2896,166.0
0,2911,1545.8559999999998
0,2916,55.19999999999982
0,2923,23.348858847232
0,2951,2118.625340900477
0,2957,341.6
0,2985,2251.0
0,2988,3256.0
0,3005,201.98719488
0,3008,163.84000000000003
0,3012,1323.8272000000006
0,3036,957.0
0,3082,279.4000000000001
0,3091,662.1320182801369
0,3107,112.19763200000004
0,3141,5809.4384
0,3149,1228.8000000000002
0,3151,131.858432
0,3159,3552.0
0,3195,1352.0
0,3199,230.4
0,3218,1290.3360000000002
0,3225,716.0
0,3262,7520.0
0,3291,614.4000000000001
0,3293,5467.200000000001
0,3309,192.79999999999995
0,3313,1336.6899752566794
0,3322,4640.0
0,3336,2252.8
0,3346,1592.8000000000002
0,3347,1745.0
0,3361,333.31199999999956
0,3392,360.9722880000001
0,3429,2990.08
0,3432,2575.8399999999997
0,3451,1798.199999999999
0,3462,210.0
0,3481,5800.0
0,3524,2589.6960000000004
0,3534,670.7200000000001
0,3539,645.7344000000002
0,3610,182.0
0,3658,1282.0480000000002
0,3664,265.6
0,3672,276.46914199551986
0,3694,601.6
0,3724,163.84000000000003
0,3767,391.0
0,3844,545.7599999999999
0,3869,131.20000000000002
0,3876,205.82400000000004
0,3889,657.260544
0,3902,4000.0
0,3918,277.12000000000006
0,3938,1175.0
0,4060,35.0
0,4091,2400.0
0,4158,136.704
0,4189,156.8
0,4208,95.009014504489
0,4260,309.28000000000003
0,4263,2500.0
0,4285,1932.0
0,4325,9329.6
0,4371,163.84000000000003
0,4372,133.0
0,4377,496.76288000000005
0,4417,583.76
0,4508,1456.453163929306
0,4528,173.0
1,88,148845.51418200426
1,104,75583.94773053117
1,270,11731.544929274842
1,327,15000.0
1,431,2697.728
1,445,274.0799999999999
1,462,29.800000000000068
1,486,390.7999999999999
1,494,3530.0
1,550,18590.84044799999
1,579,12842.4
1,593,1137.9199999999998
1,628,4244.159999999998
1,632,48346.0
1,669,1608.16
1,777,8922.624000000002
1,779,1986.5600000000004
1,796,1517.9199999999998
1,831,859.9225600000002
1,854,8601.6
1,875,666.2719999999987
1,880,2888.6076588498936
1,891,1415.0399999999995
1,892,2406.4
1,894,88.80000000000001
1,924,5352.639999999999
1,939,4055.04
1,1004,4380.6720000000005
1,1021,5889.799999999999
1,1063,11035.987148800004
1,1073,145.424
1,1126,9696.089429832498
1,1147,39153.6
1,1152,4127.0
1,1185,1671.0400000000002
1,1200,578.6828800000002
1,1226,819.2
1,1228,5722.0
1,1240,1049.728
1,1242,2183.2000000000003
1,1284,2671.9216639999977
1,1290,198.1284351999999
1,1304,63.81568000000008
1,1357,50.400000000000006
1,1424,260.19999999999993
1,1496,3701.6
1,1516,1129.472
1,1561,12.8
1,1589,844.288
1,1590,1203.4
1,1705,4360.0
1,1707,6015.328
1,1721,287.71840000000014
1,1813,3068.0
1,1832,916.48
1,1890,21.2992
1,1944,10798.080000000002
1,1957,623.2319999999995
1,2013,3573.0
1,2054,4116.64896
1,2087,20.0
1,2159,1961.7382400000004
1,2178,7260.160000000001
1,2397,734.0
1,2490,1355.7373440000003
1,2496,391.67328256
1,2559,3020.6384
1,2577,47.92320000000001
1,2653,78.72000000000001
1,2705,240.0
1,2740,383.3600000000001
1,2747,946.2752
1,2768,582.2
1,2932,1716.0
1,2937,477.0816000000001
1,3035,320.64000000000004
1,3038,9273.544
1,3065,244.07460842946557
1,3281,3873.0
1,3357,4463.329280000001
1,3361,3559.440384000001
1,3476,494.46912000000015
1,3514,55.05024000000001
1,3530,155.7135360000001
1,3539,1768.3456
1,3554,450.5999999999999
1,3555,74.24
1,3733,775.0
1,3786,309.32992000000013
1,3837,374.472256
1,3884,1771.9073408
1,4066,288.0
1,4105,160.0
1,4157,173.4764134400001
1,4394,419.8400000000001
2,32,180669.5079187225
2,165,25676.606653444655
2,170,422.1173759999997
2,174,67548.0
2,226,2950.216447999999
2,248,115183.24185310956
2,265,5854.464000000001
2,346,28778.0
2,361,55960.0
2,366,31714.56
2,423,19483.0
2,425,519.4678272000001
2,449,1095.9884124160008
2,452,3919.2
2,475,2140.211660800001
2,495,10070.888540815358
2,512,2209.1519999999996
2,551,6676.300800000001
2,556,12371.0
2,565,10846.72
2,566,11267.911680000005
2,569,134.21772800000005
2,608,1280.0
2,636,4423.68
2,639,638.24
2,703,1286.6027520000005
2,732,9163.2
2,740,1279.0399999999995
2,777,18980.8
2,832,53.37599999999999
2,847,3318.3696224256005
2,852,20.70937600000001
2,864,8853.546598400004
2,871,165.00391935999994
2,874,15401.0
2,891,4612.428800000001
2,940,12936.96
2,960,148.608
2,965,16756.8
2,970,2816.0
2,1021,2503.52
2,1126,5537.894400000001
2,1143,2051.3382400000005
2,1205,1743.8399999999997
2,1214,7602.400000000001
2,1237,762.7307372544004
2,1293,3256.0
2,1314,3598.080000000001
2,1336,1488.8
2,1365,151.67999999999992
2,1384,16673.6
2,1393,2586.24
2,1396,11460.0
2,1410,3053.6000000000004
2,1417,2047.01696
2,1428,3793.0
2,1430,1400.0
2,1435,1422.3360000000002
2,1437,1330.6000000000004
2,1473,15276.160000000002
2,1487,971.8016
2,1494,76.034342912
2,1504,7974.092800000002
2,1520,3193.6000000000004
2,1545,126.90835200000038
2,1571,576.5999999999999
2,1583,640.0
2,1603,6490.199999999999
2,1658,6830.723456000001
2,1703,4073.472
2,1713,4532.096000000001
2,1719,1139.2
2,1732,244.56319999999997
2,1763,921.5934464000002
2,1769,752.1999999999998
2,1770,125.12
2,1803,368.64
2,1811,10223.0
2,1822,8290.501439999998
2,1826,4017.2800000000007
2,1832,216.3199999999999
2,1835,533.2576161434175
2,1857,789.6
2,1860,545.1199999999999
2,1862,2775.5600000000004
2,1863,123.99411200000004
2,1881,1277.5936000000002
2,1917,3041.0
2,1918,5105.799999999999
2,2014,7563.902976000001
2,2054,125.50143999999972
2,2066,1439.5551999999989
2,2067,2550.9120000000003
2,2072,4397.0
2,2103,23333.0
2,2139,12031.200000000004
2,2162,5530.0
2,2198,1154.73514496
2,2234,134062.60000000003
2,2238,892.8000000000001
