Sourceid,Targetid,Weights
0,7,430649.0703536133
0,41,155104.523083434
0,45,11262.754816000008
0,121,6400.0
0,137,433.4883192078599
0,159,254984.96
0,181,153063.153344
0,184,30003.87698688001
0,226,3198.0296409867888
0,237,91708.8
0,253,4370.3074816
0,265,9838.125907968004
0,267,4046.644183040001
0,270,32336.98368542167
0,279,49458.14692593664
0,283,56786.4
0,288,37.79611205551782
0,299,237688.0
0,306,634.8185599999988
0,309,13764.8
0,321,14336.799999999988
0,324,24905.840435658745
0,336,574.0
0,348,3958.481830108822
0,353,5242.880000000001
0,363,11983.488
0,366,11024.010239999998
0,373,4172.518399999999
0,381,105445.15435870436
0,409,119.57824029980208
0,422,10083.4
0,436,10253.770952
0,441,636.60032
0,445,384.263168
0,449,2559.722222387201
0,454,34.4
0,460,27779.0
0,462,116.0
0,479,8243.44576
0,492,45915.072
0,501,1213.2523434809598
0,517,17486.0
0,527,42551.0
0,579,10550.19904
0,596,8208.8771968
0,600,7516.7154176
0,605,254.22080000000005
0,621,16134.4
0,627,575.5256176640004
0,678,87269.4716672
0,697,28324.0
0,702,1.2800000000000002
0,721,3777.024000000001
0,724,2147.679999999999
0,725,5320.8
0,735,114.55692800000004
0,744,614.9734399999998
0,752,759.5199999999998
0,757,7002.719999999998
0,767,18795.08
0,801,7048.4224
0,832,165.85599999999994
0,847,1306.112
0,864,26558.199999999997
0,871,1615.616
0,875,1693.7599999999993
0,884,3730.559999999999
0,889,39384.8
0,893,51.666943999999994
0,894,910.2688256000008
0,914,900.13696
0,915,2113.5564799999993
0,962,31.74825983999996
0,989,12.0
0,1006,6543.799999999999
0,1014,956.2744684544
0,1022,1542.0558540800002
0,1023,778.8193545418126
0,1032,24432.7978496
0,1042,3275.5200000000004
0,1063,15834.931200000005
0,1109,16895.160100864
0,1143,46.0
0,1150,3984.850944000001
0,1151,6660.4000000000015
0,1153,10.9051904
0,1156,7344.435200000002
0,1168,71.03999999999985
0,1177,551.8131199999997
0,1200,2656.0
0,1228,2457.28
0,1235,1095.0930559999997
0,1236,5244.928000000001
0,1237,2993.0
0,1240,108.09343999999996
0,1242,7000.0
0,1249,910.72
0,1250,20309.0
0,1255,265.7999999999997
0,1257,2221.538213283559
0,1281,174.98112000000006
0,1288,3861.0017792
0,1291,3827.0
0,1293,8173.0
0,1298,1646.1232
0,1310,11846.184960000002
0,1313,1225.9839999999992
0,1315,2494.079999999999
0,1316,708.1599999999999
0,1326,6878.061568000001
0,1336,679.3919999999998
0,1338,7437.5999999999985
0,1353,1264.0
0,1367,270.6432
0,1377,6133.8453376
0,1401,4006.4389167508057
0,1404,714.7439999999998
0,1430,2100.584775680001
0,1437,1381.6319999999996
0,1450,2325.5999999999995
0,1472,10907.0
0,1477,4517.120000000001
0,1488,6449.0
0,1512,1842.7455999999993
0,1517,9586.7104
0,1544,2740.0
0,1601,9207.0
0,1611,1546.3999999999996
0,1633,1054.4
0,1657,5286.839857971201
0,1747,222.39999999999873
0,1755,28.671999999999997
0,1757,6296.140800000001
0,1763,8823.91657701376
0,1770,94.72
0,1816,860.1600000000001
0,1822,918.9381898239996
0,1914,6553.6
0,1919,1077.6
0,1922,12526.0
0,1932,3728.8
0,1943,9392.051199999998
0,1944,13317.106432
0,1948,46.0
0,1957,12071.0
0,1968,284.67199999999815
0,1972,4271.308800000001
0,1980,3021.6000000000004
0,1981,601.5999999999999
0,1992,5496.780716544001
0,1994,2042.12
0,2052,2404.3567999999987
0,2054,1193.033728
0,2067,143.45355519999976
0,2072,5050.2
0,2077,183.2
0,2101,314.0694835200001
0,2145,1261.73184
0,2153,4116.627392
0,2180,75.71694482882565
0,2234,2025.728
0,2251,7654.0
0,2255,4.607999999999999
0,2263,40.39999999999998
0,2300,5729.0
0,2327,2962.2
0,2356,6128.0
0,2362,1169.4400000000005
0,2413,1287.8479360000006
0,2444,15817.0
0,2490,1216.6967314273963
0,2496,748.198618136576
0,2523,783.5999999999995
0,2543,14549.48
0,2547,250.06080000000009
0,2592,889.8080000000002
0,2596,230.46144
0,2650,1792.0
0,2665,382.4
0,2669,80.0
0,2675,220.5999999999999
0,2678,809.7792000000001
0,2709,16240.8
0,2712,11148.8
0,2727,3419.0
0,2729,726.3232
0,2753,121.2
0,2770,3150.3040000000005
0,2802,1562.4
0,2824,4094.24
0,2867,104.79999999999995
0,2911,3927.66426308608
0,2923,24.960000000000004
0,2925,6304.394240000001
0,2937,418.5939967999999
0,2951,130.6174603671645
0,2957,3.2
0,3020,2111.199999999999
0,3036,391.9872
0,3042,456.47449292800025
0,3124,14528.0
0,3164,1820.0
0,3199,94.37184
0,3218,528.5216256000003
0,3233,5000.0
0,3241,311.04
0,3250,12.0
0,3262,2998.6000000000004
0,3288,900.0
0,3291,209.14176
0,3309,4356.8
0,3336,922.74688
0,3347,714.7520000000001
0,3357,60225.196326912
0,3369,9170.0
0,3429,13228.087040000002
0,3432,1055.064064
0,3442,637.0
0,3451,3919.84
0,3489,1393.2672
0,3505,547.2
0,3586,2330.4
0,3610,74.5472
0,3641,93587.15008000004
0,3723,399.190767616
0,3724,67.10886400000003
0,3730,8819.392425495389
0,3807,3888.0
0,3808,1617.0
0,3875,122.368
0,3877,20.0
0,3887,1007.0
0,3889,269.21391882240005
0,4024,328.19200000000006
0,4143,4070.310656
0,4184,701.44
0,4208,38.9156923410387
0,4265,134.0
0,4270,500.0
0,4325,3821.404160000001
0,4350,71.42400000000002
0,4448,50.0
0,4508,596.5632159454439
0,4513,3323.0967275520024
0,4528,4632.9472000000005
1,88,60967.12260894894
1,219,3413.120000000001
1,272,7208.212799999983
1,307,115492.4099072
1,409,640.0
1,424,848.5999999999995
1,486,3856.0
1,489,3973.017600000001
1,501,4486.040000000001
1,516,264.79999999999995
1,521,553.0
1,532,4079.84
1,547,13653.0
1,550,23413.76
