Sourceid,Targetid,Weights
0,7,275615.40502631257
0,41,99266.89477339775
0,45,7208.163082240008
0,121,4096.0
0,137,277.4325242930303
0,159,163190.3744
0,181,97960.41814016
0,184,19202.481271603207
0,187,31194.8976
0,208,508.8865157120017
0,237,58693.63200000001
0,253,75715.772416
0,279,31653.214032599455
0,283,36343.296
0,288,24.18951171553141
0,299,152120.32
0,306,406.28387839999925
0,321,9175.551999999994
0,324,15939.7378788216
0,336,367.3600000000001
0,345,3721.4000000000015
0,348,2533.4283712696465
0,353,3355.443200000001
0,363,7669.43232
0,366,7055.366553599999
0,381,67484.8987895708
0,389,31512.384000000005
0,409,76.53007379187335
0,422,6453.376
0,436,6562.413409280001
0,449,1638.2222223278086
0,454,22.016
0,469,24697.6
0,484,466.0
0,486,5790.0
0,492,29385.64608
0,501,776.4814998278144
0,513,1281.0
0,562,57561.600000000006
0,579,11326.656
0,596,5253.681405952
0,600,4810.697867264001
0,605,162.70131200000006
0,621,10326.016
0,663,23375.921152000003
0,669,78.79999999999927
0,685,41573.600000000006
0,697,18127.36
0,721,2417.295360000001
0,723,1274.4480000000003
0,724,1374.5151999999994
0,725,12615.2
0,735,73.31643392000004
0,752,5477.974400000001
0,757,4481.7408
0,761,286.47999999999956
0,779,2416.959999999999
0,786,31934.7895424
0,789,4500.0144
0,801,4510.990336000001
0,817,14.0
0,839,2094.4800000000005
0,851,24227.0
0,852,2493.100198523546
0,864,3306.8800000000047
0,875,1084.0063999999998
0,889,19272.927999999996
0,893,33.06684416
0,894,582.5720483840006
0,895,11685.999999999996
0,909,7978.0
0,914,576.0876544000001
0,915,4033.3238528
0,918,409.44000000000017
0,965,5110.399999999998
0,972,5214.799999999999
0,980,25679.2
0,987,1000.0
0,988,2.5600000000005823
0,999,1139.5200000000002
0,1018,2.7199999999997093
0,1022,7056.315746611199
0,1027,600.0
0,1032,15636.990623744
0,1039,4461.12
0,1072,5564.8
0,1073,102.80470016000004
0,1152,2156.16
0,1153,6.979321856
0,1156,4700.4385280000015
0,1168,45.46559999999991
0,1235,700.8595558399999
0,1237,1915.52
0,1240,187.19999999999985
0,1242,4480.0
0,1255,170.11199999999985
0,1281,111.98791680000004
0,1288,476.3199999999997
0,1298,1053.5188480000002
0,1305,3069.0
0,1310,7581.558374400002
0,1336,3540.0
0,1367,1669.035391999999
0,1401,694.7199999999998
0,1404,457.43616
0,1410,2241.6422784000006
0,1420,1032.7487999999998
0,1430,3400.0
0,1440,20032.0
0,1473,11187.475916800002
0,1477,2890.956800000001
0,1488,8350.0
0,1494,2014.2144
0,1503,6557.653375999999
0,1512,1179.3571839999995
0,1517,6135.494656
0,1526,825.6
0,1545,2372.4800000000005
0,1590,3272.0
0,1597,14463.0
0,1611,1911.7286251929595
0,1619,799.0
0,1662,675.2000000000004
0,1665,719.5999999999985
0,1717,743.21792
0,1733,16129.552
0,1755,18.35008
0,1758,1640.0
0,1769,363.0
0,1783,420.0
0,1816,550.5024000000002
0,1825,471.6799999999999
0,1860,278.87999999999994
0,1885,1764.0
0,1915,202.72000000000003
0,1917,1870.0
0,1922,8016.639999999999
0,1932,2386.432
0,1942,8000.0
0,1943,6010.912767999999
0,1944,7829.5999999999985
0,1980,1933.8240000000003
0,1994,1306.9568
0,2000,3972.7134703155666
0,2011,1955.5999999999997
0,2052,1538.7883519999991
0,2064,1275.0
0,2066,2983.6933183487995
0,2101,201.0044694528001
0,2122,6572.9699200000005
0,2145,4283.799999999996
0,2153,2634.6415308800006
0,2173,2454.0
0,2263,25.85599999999999
0,2300,3666.56
0,2327,1895.808
0,2383,4238.4
0,2413,824.2226790400005
0,2414,789.2800000000003
0,2444,10122.88
0,2490,778.6859081135339
0,2493,10304.0
0,2543,9311.667200000002
0,2547,160.0389120000001
0,2570,15916.0
0,2592,569.4771200000002
0,2650,1146.88
0,2667,20391.0
0,2669,51.2
0,2675,141.18399999999994
0,2678,518.2586880000001
0,2695,380.7999999999997
0,2729,464.8468480000001
0,2735,1023.0
0,2753,96.32
0,2770,2016.1945600000008
0,2802,999.936
0,2818,3059.2000000000003
0,2824,2620.3136
0,2867,67.07199999999999
0,2911,2513.7051283750916
0,2973,263.0
0,2984,1000.0
0,2985,604.3999999999999
0,2988,8982.168000000001
0,3020,1351.1679999999994
0,3124,9297.92
0,3155,22545.6
0,3199,60.3979776
0,3218,799.3599999999999
0,3233,3200.0
0,3262,1919.104000000001
0,3288,576.0
0,3291,133.8507264
0,3336,590.5580032000001
0,3451,2508.6976000000004
0,3459,2974.0799999999995
0,3728,600.0
0,3784,1350.0
0,3875,78.31552
0,3884,1108.688
0,4073,480.0
0,4084,2433.6371790716917
0,4105,500.0
0,4143,2604.9988198400006
0,4208,24.90604309826477
0,4322,5975.272640000003
0,4325,2445.698662400001
0,4448,32.0
0,4528,2965.0862080000006
1,219,2184.396800000001
1,272,4613.256191999989
1,409,409.6
1,424,543.1039999999997
1,501,2871.065600000001
